;Cel;Aktywa;Płeć;Stan cywilny;Mieszkanie;Praca;Okres;Wiek;Ocena
300;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;13;47;Zła
301;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;10;23;Dobra
302;Nowy samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;37;56;Zła
303;Meble;Wysokie;K;Rozwiedziona(y);Wynajem;Fizyczny;13;28;Zła
304;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;11;48;Dobra
305;Meble;Bardzo wysokie;M;Samotna(y);Własne;Umysłowy;19;27;Dobra
306;Drobne AGD;Niskie;M;Stały związek;Własne;Umysłowy;73;23;Zła
307;Drobne AGD;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;19;24;Zła
308;Meble;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;11;22;Dobra
309;Nowy samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;13;42;Zła
310;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;13;25;Zła
311;Nowy samochód;Niskie;K;Rozwiedziona(y);Wynajem;Fizyczny;11;47;Zła
312;Nowy samochód;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;19;32;Zła
313;Nowy samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;7;25;Dobra
314;Meble;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;37;36;Dobra
315;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;43;25;Zła
316;Meble;Brak;M;Stały związek;Własne;Umysłowy;7;26;Dobra
317;Nowy samochód;Bardzo niskie;K;Rozwiedziona(y);Własne;Fizyczny;7;53;Dobra
318;Remont;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;19;66;Dobra
319;Nowy samochód;Brak;K;Rozwiedziona(y);Własne;Umysłowy;49;23;Dobra
320;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;13;25;Dobra
321;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Fizyczny;46;24;Zła
322;Nowy samochód;Bardzo niskie;M;Samotna(y);Wynajem;Fizyczny;19;31;Zła
323;Używany samochód;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Fizyczny;49;57;Zła
324;Nowy samochód;Bardzo niskie;M;Rozwiedziona(y);Własne;Umysłowy;15;44;Zła
325;Inne;Bardzo niskie;M;Rozwiedziona(y);Własne;Umysłowy;37;42;Dobra
326;Używany samochód;Wysokie;K;Rozwiedziona(y);Wynajem;Umysłowy;25;27;Zła
327;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;13;51;Dobra
328;Używany samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;49;23;Zła
329;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;19;31;Zła
330;Meble;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;37;22;Zła
331;Nowy samochód;Brak;M;Samotna(y);Własne;Umysłowy;37;35;Dobra
332;Business;Brak;M;Samotna(y);Wynajem;Umysłowy;49;37;Dobra
333;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;25;35;Dobra
334;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;19;30;Zła
335;Edukacja;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;49;49;Zła
336;Edukacja;Brak;K;Rozwiedziona(y);Własne;Umysłowy;25;32;Dobra
337;Meble;Wysokie;M;Samotna(y);Własne;Umysłowy;25;52;Dobra
338;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;13;45;Zła
339;Drobne AGD;Bardzo niskie;M;Stały związek;Własne;Umysłowy;13;23;Dobra
340;Meble;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;13;41;Dobra
341;Meble;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;10;28;Zła
342;Meble;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;37;30;Zła
343;Drobne AGD;Brak;M;Samotna(y);Własne;Umysłowy;37;50;Dobra
344;Business;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;49;58;Zła
345;Drobne AGD;Brak;M;Samotna(y);Własne;Umysłowy;49;36;Dobra
346;Drobne AGD;Bardzo niskie;M;Samotna(y);Wynajem;Fizyczny;25;23;Zła
347;Drobne AGD;Brak;M;Samotna(y);Własne;Fizyczny;31;48;Dobra
348;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;11;37;Dobra
349;Drobne AGD;Niskie;M;Samotna(y);Wynajem;Umysłowy;46;20;Zła
350;Nowy samochód;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;31;23;Zła
351;Meble;Wysokie;K;Rozwiedziona(y);Własne;Umysłowy;37;39;Dobra
352;Edukacja;Brak;M;Samotna(y);Wynajem;Fizyczny;37;34;Dobra
353;Remont;Brak;K;Rozwiedziona(y);Własne;Umysłowy;13;22;Dobra
354;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;10;21;Zła
355;Meble;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;25;38;Zła
356;Drobne AGD;Brak;M;Samotna(y);Wynajem;Umysłowy;13;36;Dobra
357;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Fizyczny;10;26;Dobra
358;Remont;Niskie;M;Samotna(y);Własne;Umysłowy;10;47;Dobra
359;Drobne AGD;Brak;M;Samotna(y);Wynajem;Umysłowy;16;38;Zła
360;Drobne AGD;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;13;27;Zła
361;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;25;25;Dobra
362;Drobne AGD;Brak;M;Samotna(y);Własne;Umysłowy;19;28;Dobra
363;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;7;67;Zła
364;Business;Bardzo niskie;M;Stały związek;Własne;Umysłowy;9;25;Dobra
365;Drobne AGD;Wysokie;M;Stały związek;Własne;Umysłowy;13;34;Dobra
366;Używany samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;49;38;Zła
367;Nowy samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;49;41;Zła
368;Meble;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;25;26;Zła
369;Nowy samochód;Wysokie;M;Samotna(y);Własne;Umysłowy;37;35;Dobra
370;Używany samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;49;45;Zła
371;Drobne AGD;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;31;32;Dobra
372;Używany samochód;Brak;M;Rozwiedziona(y);Wynajem;Umysłowy;25;47;Dobra
373;Nowy samochód;Bardzo niskie;M;Stały związek;Własne;Fizyczny;13;24;Zła
374;Meble;Bardzo niskie;M;Rozwiedziona(y);Własne;Fizyczny;31;30;Zła
375;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;43;33;Zła
376;Meble;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;19;23;Zła
377;Drobne AGD;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;19;21;Zła
378;Nowy samochód;Brak;M;Samotna(y);Wynajem;Umysłowy;37;36;Zła
379;Używany samochód;Brak;M;Samotna(y);Własne;Umysłowy;37;30;Dobra
380;Nowy samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;25;52;Zła
381;Nowy samochód;Wysokie;M;Stały związek;Własne;Umysłowy;13;27;Zła
382;Drobne AGD;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;8;44;Dobra
383;Drobne AGD;Brak;M;Samotna(y);Własne;Umysłowy;11;26;Dobra
384;Meble;Niskie;M;Samotna(y);Własne;Umysłowy;25;24;Dobra
385;Meble;Brak;K;Rozwiedziona(y);Własne;Umysłowy;13;24;Zła
386;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;7;50;Dobra
387;Drobne AGD;Bardzo niskie;M;Stały związek;Własne;Fizyczny;19;31;Dobra
388;Business;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;22;38;Zła
389;Nowy samochód;Niskie;M;Samotna(y);Własne;Umysłowy;10;28;Zła
390;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Fizyczny;13;48;Dobra
391;Nowy samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;37;56;Zła
392;Meble;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;7;31;Zła
393;Drobne AGD;Bardzo wysokie;K;Rozwiedziona(y);Własne;Umysłowy;22;28;Dobra
394;Edukacja;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;41;26;Zła
395;Business;Niskie;K;Rozwiedziona(y);Wynajem;Fizyczny;31;25;Zła
396;Business;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;28;41;Zła
397;Nowy samochód;Brak;K;Rozwiedziona(y);Wynajem;Umysłowy;23;24;Dobra
398;Używany samochód;Brak;M;Samotna(y);Własne;Umysłowy;13;29;Dobra
399;Używany samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;37;25;Zła
400;Większe AGD;Wysokie;M;Samotna(y);Własne;Umysłowy;16;35;Dobra
401;Meble;Bardzo niskie;M;Samotna(y);Własne;Fizyczny;7;35;Dobra
402;Business;Niskie;M;Samotna(y);Własne;Fizyczny;25;26;Dobra
403;Meble;Brak;M;Samotna(y);Własne;Umysłowy;40;29;Dobra
404;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Fizyczny;25;59;Zła
405;Edukacja;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;7;34;Zła
406;Używany samochód;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;37;41;Dobra
407;Nowy samochód;Bardzo niskie;M;Rozwiedziona(y);Własne;Umysłowy;13;35;Zła
408;Meble;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;13;27;Dobra
409;Meble;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;19;41;Zła
410;Używany samochód;Brak;K;Rozwiedziona(y);Wynajem;Umysłowy;11;30;Dobra
411;Nowy samochód;Bardzo niskie;M;Stały związek;Własne;Umysłowy;31;27;Zła
412;Drobne AGD;Wysokie;K;Rozwiedziona(y);Własne;Fizyczny;10;65;Dobra
413;Meble;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;19;19;Zła
414;Nowy samochód;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;37;33;Zła
415;Meble;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;13;24;Zła
416;Używany samochód;Bardzo niskie;M;Stały związek;Wynajem;Umysłowy;13;40;Dobra
417;Używany samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;25;62;Dobra
418;Edukacja;Bardzo niskie;K;Rozwiedziona(y);Wynajem;Fizyczny;25;33;Zła
419;Nowy samochód;Bardzo niskie;M;Stały związek;Własne;Umysłowy;22;29;Dobra
420;Nowy samochód;Niskie;K;Rozwiedziona(y);Własne;Fizyczny;13;22;Zła
421;Drobne AGD;Brak;M;Samotna(y);Wynajem;Umysłowy;7;35;Dobra
422;Meble;Brak;M;Samotna(y);Własne;Umysłowy;31;30;Zła
423;Nowy samochód;Brak;K;Rozwiedziona(y);Własne;Umysłowy;25;28;Zła
424;Nowy samochód;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;16;28;Zła
425;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;7;44;Dobra
